full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Léider Sebastián Berdugo Ruiz;21;Categoria Primera A;2023;Midfielder;Junior;Colombia;9;0;0;0;1;1;0;1;0
Leonardo Castro;31;Categoria Primera A;2023;Forward;Millonarios;Colombia;32;9;6;3;2;1;1;8;1
Leonardo Enrique Saldaña Carvajal;33;Categoria Primera A;2023;Defender;Alianza Petrolera;Colombia;32;1;1;0;3;2;1;8;1
Leonardo Javier Escorcia Barraza;27;Categoria Primera A;2023;Defender;Atlético Huila;Colombia;32;6;4;2;2;2;0;3;0
Leyder Moran;18;Categoria Primera A;2023;Midfielder;Once Caldas;Colombia;16;0;0;0;0;0;0;2;0
Leyser Chaverra Rentería;26;Categoria Primera A;2023;Defender;Independiente Medellín;Colombia;16;0;0;0;0;0;0;2;0
Louis Ángelo Peña Puentes;33;Categoria Primera A;2023;Midfielder;Boyacá Chicó;Venezuela;38;5;3;2;5;1;4;3;0
Lucas González;26;Categoria Primera A;2023;Forward;Deportes Tolima;Argentina;3;0;0;0;0;0;0;0;0
Luciano Alejandro Ospina Londoño;32;Categoria Primera A;2023;Defender;Alianza Petrolera;Colombia;42;1;1;0;0;0;0;9;0
Luciano Daniel Pons;33;Categoria Primera A;2023;Forward;Independiente Medellín;Argentina;39;7;5;2;2;1;1;6;1
Luis Alberto Caicedo Medina;31;Categoria Primera A;2023;Defender;Atlético Huila;Ecuador;16;0;0;0;0;0;0;4;0
Luis Alejandro Paz Mulato;35;Categoria Primera A;2023;Midfielder;América de Cali;Colombia;35;0;0;0;0;0;0;5;1
Luis Ángel Díaz Cuesta;19;Categoria Primera A;2023;Midfielder;Envigado;Colombia;27;7;4;3;0;0;0;4;0
Luis Carlos Ruiz Morales;36;Categoria Primera A;2023;Forward;Millonarios;Colombia;10;1;0;1;1;1;0;1;0
Luis Daniel González Cova;32;Categoria Primera A;2023;Forward;Junior;Venezuela;31;6;4;2;3;0;3;7;1
Luis David Quintero Zúñiga;25;Categoria Primera A;2023;Goalkeeper;América de Cali;Colombia;1;0;0;0;0;0;0;0;0
Luis Eduardo Rentería Rodríguez;17;Categoria Primera A;2023;Midfielder;Santa Fe;Colombia;1;0;0;0;0;0;0;1;0
Luis Felipe Gómez Palomino;19;Categoria Primera A;2023;Forward;Envigado;Colombia;9;0;0;0;0;0;0;1;0
Luis Felipe Mosquera Paredes;21;Categoria Primera A;2023;Forward;América de Cali;Colombia;22;3;2;1;0;0;0;6;0
Luis Felipe Pérez Valencia;27;Categoria Primera A;2023;Midfielder;Once Caldas;Colombia;34;0;0;0;1;1;0;6;0
Luis Fernando Miranda Molinares;26;Categoria Primera A;2023;Forward;Once Caldas;Colombia;27;1;0;1;4;2;2;2;0
Luis Fernando Sandoval Oyola;24;Categoria Primera A;2023;Midfielder;Deportivo Cali;Colombia;29;9;8;1;2;2;0;9;1
Luis Francisco Sánchez Mosquera;23;Categoria Primera A;2023;Defender;América de Cali;Colombia;22;3;1;2;3;2;1;3;0
Luis Haquín;25;Categoria Primera A;2023;Midfielder;Deportivo Cali;Bolivia;12;0;0;0;1;1;0;3;1
Luis Manuel Orejuela García;28;Categoria Primera A;2023;Defender;Independiente Medellín;Colombia;12;1;1;0;0;0;0;0;0
Luis Marquinez;20;Categoria Primera A;2023;Goalkeeper;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Luis Miguel Angulo Sevillano;19;Categoria Primera A;2023;Midfielder;Alianza Petrolera;Colombia;21;3;2;1;0;0;0;7;0
Luis Palacios;22;Categoria Primera A;2023;Forward;La Equidad;Colombia;7;0;0;0;0;0;0;1;0
Luis Paredes;22;Categoria Primera A;2023;Forward;Millonarios;Colombia;27;2;1;1;0;0;0;0;0
Luis Vásquez;27;Categoria Primera A;2023;Goalkeeper;Atlético Huila;Colombia;18;0;0;0;0;0;0;2;1
Maicol Edud Valencia Ambuila;19;Categoria Primera A;2023;Defender;América de Cali;Colombia;1;0;0;0;0;0;0;1;1
Maicol Medina;26;Categoria Primera A;2023;Forward;Deportivo Pereira;Colombia;27;2;1;1;1;0;1;5;1
Maicol Sequeda Arroyo;20;Categoria Primera A;2023;Midfielder;Atlético Huila;Colombia;5;0;0;0;0;0;0;0;0
Malcom David Palacios Mosquera;19;Categoria Primera A;2023;Defender;Independiente Medellín;Colombia;2;0;0;0;0;0;0;0;0
Manuel Gardani Arias Arias;25;Categoria Primera A;2023;Goalkeeper;Jaguares de Córdoba;Colombia;0;0;0;0;0;0;0;0;0
Marcelo Dávalos;24;Categoria Primera A;2023;Midfielder;Atlético Huila;Paraguay;4;0;0;0;0;0;0;0;0
Marco Jhonnier Pérez Murillo;33;Categoria Primera A;2023;Forward;Rionegro Águilas;Colombia;40;25;14;11;3;3;0;6;0
Marcos David Mina Lucumí;24;Categoria Primera A;2023;Defender;América de Cali;Colombia;11;0;0;0;1;1;0;5;0
Marcos Maximiliano Cantera Mora;30;Categoria Primera A;2023;Midfielder;Atlético Nacional;Uruguay;12;0;0;0;0;0;0;2;0
Marcus Vinicius Felicio;26;Categoria Primera A;2023;Midfielder;Atlético Huila;Brazil;36;13;8;5;1;1;0;6;0
Marlon Aldair Torres Obeso;27;Categoria Primera A;2023;Defender;Deportes Tolima;Colombia;18;0;0;0;1;0;1;8;0
Marlon Javier Piedrahita Londoño;38;Categoria Primera A;2023;Defender;Once Caldas;Colombia;24;0;0;0;1;1;0;7;0
Martín Enrique Payares Campo;28;Categoria Primera A;2023;Defender;La Equidad;Colombia;19;1;0;1;0;0;0;4;0
Mateo Puerta Peláez;26;Categoria Primera A;2023;Defender;Rionegro Águilas;Colombia;39;3;2;1;4;2;2;19;1
Mateo Valencia Gómez;19;Categoria Primera A;2023;Goalkeeper;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Mauricio Andrés Liñán Berdugo;22;Categoria Primera A;2023;Defender;Boyacá Chicó;Colombia;6;1;0;1;0;0;0;0;0
Mauricio Castaño Grisales;30;Categoria Primera A;2023;Midfielder;Jaguares de Córdoba;Colombia;32;0;0;0;0;0;0;6;0
Mayer Andrés Gil Hurtado;20;Categoria Primera A;2023;Midfielder;Alianza Petrolera;El Salvador;25;5;4;1;0;0;0;1;0
Michael Nike Gómez Vega;26;Categoria Primera A;2023;Forward;Boyacá Chicó;Colombia;31;6;3;3;0;0;0;1;0
Miguel Angel Alvarez Oquendo;21;Categoria Primera A;2023;Midfielder;Jaguares de Córdoba;Colombia;0;0;0;0;0;0;0;0;0
Miguel Ángel Sánchez Tabares;21;Categoria Primera A;2023;Goalkeeper;Deportivo Cali;Colombia;0;0;0;0;0;0;0;0;0
