full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Rafael Guillermo Bustamante Cantillo;24;Categoria Primera A;2022;Midfielder;Jaguares de Córdoba;Colombia;35;0;0;0;0;0;0;12;0
Raziel Samir Fernando García Paredes;29;Categoria Primera A;2022;Midfielder;Deportes Tolima;Peru;21;1;1;0;1;1;0;0;0
Reinaldo Miguel Fontalvo Freile;24;Categoria Primera A;2022;Goalkeeper;Envigado;Colombia;0;0;0;0;0;0;0;0;0
Ricardo Luis Márquez González;25;Categoria Primera A;2022;Forward;Unión Magdalena;Colombia;29;9;3;6;1;1;0;10;0
Ricardo Rosales;22;Categoria Primera A;2022;Forward;Millonarios;Colombia;13;0;0;0;0;0;0;5;1
Richard Enrique Celis Sánchez;27;Categoria Primera A;2022;Forward;Millonarios;Venezuela;19;1;1;0;1;0;1;4;0
Richard Stevens Rentería Moreno;27;Categoria Primera A;2022;Defender;Alianza Petrolera;Colombia;21;1;0;1;0;0;0;4;0
Robert Alexander Harrys Roqueme;28;Categoria Primera A;2022;Midfielder;Deportivo Pasto;Colombia;1;0;0;0;0;0;0;0;0
Robert Andrés Mejía Navarrete;23;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;22;1;1;0;0;0;0;5;0
Roberto Carlos Hinojosa Marín;24;Categoria Primera A;2022;Midfielder;Unión Magdalena;Colombia;38;1;1;0;5;5;0;8;0
Roberto Carlos Pérez Vanegas;23;Categoria Primera A;2022;Midfielder;Unión Magdalena;Colombia;6;0;0;0;0;0;0;1;1
Robinson Flores;25;Categoria Primera A;2022;Midfielder;Rionegro Águilas;Venezuela;25;2;2;0;4;3;1;3;1
Rodin Jair Quiñónes Rentería;28;Categoria Primera A;2022;Defender;Atlético Bucaramanga;Colombia;6;0;0;0;0;0;0;0;0
Rodrigo Andrés Ureña Reyes;30;Categoria Primera A;2022;Midfielder;Deportes Tolima;Chile;36;3;3;0;3;1;2;10;0
Rodrigo Ezequiel Paillalef;31;Categoria Primera A;2022;Defender;Cortuluá;Argentina;0;0;0;0;0;0;0;0;0
