date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Apr 06 2014 - 10:00pm;Boyacá Chicó;Rionegro Águilas;0;1;1;7;1;3;0;3;0;16;7;12;4;20;24;53;47;Estadio de La Independencia
Apr 06 2014 - 10:30pm;Envigado;Patriotas Boyacá;2;2;4;8;5;1;0;2;0;10;12;4;3;12;19;52;48;Estadio Polideportivo Sur
Apr 07 2014 - 12:45am;Deportes Tolima;Independiente Medellín;1;1;2;7;5;4;0;7;1;22;6;14;2;13;12;47;53;Estadio Manuel Murillo Toro
Apr 08 2014 - 8:15pm;Alianza Petrolera;Millonarios;2;1;3;0;10;3;0;6;2;9;6;7;3;10;26;50;50;Estadio Álvaro Gómez Hurtado
Apr 09 2014 - 1:00am;Junior;Deportivo Pasto;1;0;1;5;1;2;0;4;1;14;16;6;9;9;11;48;52;Estadio Metropolitano Roberto Meléndez
Apr 09 2014 - 11:00pm;Fortaleza CEIF;Boyacá Chicó;0;0;0;3;3;4;0;1;0;14;16;6;9;9;11;47;53;Estadio Metropolitano de Techo
Apr 09 2014 - 11:00pm;Patriotas Boyacá;La Equidad;1;2;3;3;3;4;0;3;0;11;9;5;4;18;13;52;48;Estadio de La Independencia
Apr 10 2014 - 1:00am;Atlético Huila;Once Caldas;2;0;2;5;5;3;0;1;0;13;16;9;8;24;14;49;51;Estadio Guillermo Plazas Alcid
Apr 10 2014 - 11:00pm;Deportivo Cali;Deportes Tolima;2;0;2;6;1;3;0;3;1;12;8;9;4;23;14;50;50;Estadio Olímpico Pascual Guerrero
Apr 11 2014 - 1:00am;Independiente Medellín;Envigado;3;2;5;5;7;2;0;0;0;15;7;5;4;17;16;53;47;Estadio Metropolitano de Techo
Apr 12 2014 - 12:45am;Deportivo Pasto;Rionegro Águilas;1;2;3;4;10;2;0;2;0;14;9;4;4;15;17;52;48;Estadio Departamental Libertad
Apr 12 2014 - 8:15pm;Boyacá Chicó;Patriotas Boyacá;3;0;3;5;5;2;0;3;0;10;6;6;4;15;24;47;53;Estadio de La Independencia
Apr 12 2014 - 10:00pm;Once Caldas;Junior;3;0;3;2;5;5;0;4;0;18;5;9;3;19;18;50;50;Estadio Palogrande
Apr 13 2014 - 12:45am;Uniautónoma;Millonarios;1;0;1;6;7;2;0;3;0;13;12;8;6;20;21;50;50;Estadio Metropolitano Roberto Meléndez
Apr 13 2014 - 8:15pm;Deportes Tolima;Alianza Petrolera;1;2;3;3;3;2;0;2;0;19;5;4;2;23;16;49;51;Estadio Manuel Murillo Toro
Apr 13 2014 - 8:15pm;La Equidad;Independiente Medellín;2;1;3;3;5;1;1;4;0;17;9;8;3;17;23;47;53;Estadio Metropolitano de Techo
Apr 13 2014 - 10:00pm;Santa Fe;Atlético Huila;2;1;3;4;4;3;0;2;0;9;15;3;11;14;18;45;55;Estadio Nemesio Camacho El Campín
Apr 13 2014 - 10:30pm;Envigado;Deportivo Cali;3;1;4;2;8;3;0;2;0;8;11;3;6;16;19;50;50;Estadio Polideportivo Sur
Apr 14 2014 - 12:45am;Atlético Nacional;Fortaleza CEIF;4;3;7;6;8;0;0;3;0;14;10;7;6;16;17;47;53;Estadio Atanasio Girardot
Apr 16 2014 - 11:00pm;Santa Fe;Uniautónoma;2;2;4;19;3;2;0;2;0;6;8;2;3;10;19;48;52;Estadio Nemesio Camacho El Campín
Apr 17 2014 - 1:00am;Rionegro Águilas;Atlético Nacional;1;1;2;3;2;2;0;7;1;10;22;7;8;20;20;49;51;Estadio Metropolitano de Itagüí (Itagüí)
Apr 19 2014 - 8:15pm;Atlético Huila;Uniautónoma;1;1;2;3;3;2;0;3;1;23;13;10;4;13;6;47;53;Estadio Guillermo Plazas Alcid
Apr 19 2014 - 10:30pm;Millonarios;Deportes Tolima;3;1;4;5;2;1;0;0;0;12;2;8;2;11;14;50;50;Estadio Nemesio Camacho El Campín
Apr 20 2014 - 12:45am;Patriotas Boyacá;Atlético Nacional;2;1;3;3;3;3;0;0;0;24;10;13;5;16;17;52;48;Estadio de La Independencia
Apr 20 2014 - 8:15pm;Rionegro Águilas;Once Caldas;2;2;4;2;2;1;0;3;0;14;10;7;6;19;20;51;49;Estadio Metropolitano de Itagüí (Itagüí)
Apr 20 2014 - 8:15pm;Deportivo Cali;La Equidad;1;0;1;7;3;2;0;3;1;14;9;4;0;15;22;53;47;Estadio Olímpico Pascual Guerrero
Apr 20 2014 - 8:15pm;Independiente Medellín;Boyacá Chicó;2;1;3;10;11;5;0;4;0;10;14;6;6;15;11;50;50;Estadio Atanasio Girardot
Apr 20 2014 - 8:15pm;Alianza Petrolera;Envigado;0;2;2;6;6;1;0;3;0;4;6;2;3;20;25;52;48;Estadio Álvaro Gómez Hurtado
Apr 20 2014 - 10:30pm;Junior;Santa Fe;2;1;3;3;3;3;0;3;0;14;7;5;3;18;18;53;47;Estadio Metropolitano Roberto Meléndez
Apr 21 2014 - 12:15am;Fortaleza CEIF;Deportivo Pasto;4;1;5;8;1;2;0;2;1;9;7;4;0;16;19;48;52;Estadio Metropolitano de Techo
Apr 26 2014 - 10:00pm;Envigado;Atlético Nacional;1;4;5;7;4;3;0;2;0;13;15;6;9;18;21;48;52;Estadio Polideportivo Sur
Apr 27 2014 - 12:30am;Once Caldas;Santa Fe;1;4;5;11;0;5;1;2;0;17;3;7;0;16;15;52;48;Estadio Palogrande
Apr 27 2014 - 10:00pm;Rionegro Águilas;Junior;1;1;2;3;3;2;1;3;0;23;9;12;3;11;28;49;51;Estadio Metropolitano de Itagüí (Itagüí)
