date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Mar 17 2019 - 7:00pm;Once Caldas;Deportivo Pasto;0;1;1;5;3;7;0;2;1;Estadio Palogrande
Mar 17 2019 - 8:30pm;Unión Magdalena;Junior;1;1;2;5;2;4;0;3;0;Estadio Sierra Nevada
Mar 17 2019 - 9:00pm;Atlético Huila;Deportes Tolima;1;5;6;5;6;1;1;3;1;Estadio Guillermo Plazas Alcid
Mar 17 2019 - 11:00pm;Jaguares de Córdoba;Alianza Petrolera;0;0;0;7;2;2;0;3;1;Estadio de Fútbol Jaraguay de Montería
Mar 18 2019 - 1:00am;Atlético Bucaramanga;Cúcuta Deportivo;1;0;1;1;9;6;0;3;1;Estadio Alfonso López
Mar 21 2019 - 12:30am;Atlético Nacional;Deportivo Cali;2;2;4;10;6;4;0;4;0;Estadio Atanasio Girardot
Mar 23 2019 - 8:15pm;Deportivo Pasto;Millonarios;1;0;1;6;0;4;0;4;0;Estadio Municipal De Ipiales (Ipiales)
Mar 23 2019 - 10:00pm;Cúcuta Deportivo;Atlético Nacional;1;3;4;4;3;6;0;4;0;Estadio General Santander
Mar 23 2019 - 10:30pm;Alianza Petrolera;Deportivo Cali;1;0;1;6;10;3;0;3;0;Estadio Daniel Villa Zapata
Mar 24 2019 - 12:45am;Deportes Tolima;Unión Magdalena;1;0;1;3;3;3;0;0;1;Estadio Manuel Murillo Toro
Mar 24 2019 - 9:00pm;Independiente Medellín;Envigado;4;1;5;2;7;4;0;3;0;Estadio Atanasio Girardot
Mar 24 2019 - 10:00pm;Junior;Atlético Huila;3;0;3;3;1;1;0;1;0;Estadio Metropolitano Roberto Meléndez
Mar 24 2019 - 11:00pm;América de Cali;Jaguares de Córdoba;1;0;1;7;5;3;0;3;0;Estadio Olímpico Pascual Guerrero
Mar 25 2019 - 1:00am;Santa Fe;Once Caldas;0;2;2;8;1;1;0;1;0;Estadio Nemesio Camacho El Campín
Mar 25 2019 - 10:30pm;Patriotas Boyacá;La Equidad;3;1;4;6;2;0;0;2;0;Estadio de La Independencia
Mar 26 2019 - 12:30am;Rionegro Águilas;Atlético Bucaramanga;1;1;2;7;7;5;0;3;0;Estadio Alberto Grisales
Mar 27 2019 - 11:15pm;Junior;Unión Magdalena;1;1;2;5;5;2;1;5;0;Estadio Metropolitano Roberto Meléndez
Mar 28 2019 - 1:15am;Deportes Tolima;Atlético Nacional;2;1;3;6;8;5;0;1;0;Estadio Manuel Murillo Toro
Mar 28 2019 - 11:00pm;Cúcuta Deportivo;Independiente Medellín;2;2;4;9;3;2;0;4;0;Estadio General Santander
Mar 29 2019 - 1:00am;Millonarios;Santa Fe;1;1;2;4;3;2;0;3;0;Estadio Nemesio Camacho El Campín
Mar 30 2019 - 12:45am;Atlético Huila;Patriotas Boyacá;1;1;2;4;1;2;0;0;0;Estadio Guillermo Plazas Alcid
Mar 30 2019 - 7:00pm;La Equidad;Deportes Tolima;0;0;0;8;4;4;0;2;0;Estadio Metropolitano de Techo
Mar 30 2019 - 9:00pm;Jaguares de Córdoba;Junior;1;1;2;8;5;0;0;0;0;Estadio de Fútbol Jaraguay de Montería
Mar 30 2019 - 10:00pm;Atlético Bucaramanga;América de Cali;0;0;0;4;8;1;1;4;1;Estadio Alfonso López
Mar 30 2019 - 11:00pm;Once Caldas;Rionegro Águilas;2;0;2;7;4;3;0;2;0;Estadio Palogrande
Mar 31 2019 - 1:00am;Atlético Nacional;Deportivo Pasto;0;1;1;2;3;2;0;4;0;Estadio Atanasio Girardot
Mar 31 2019 - 8:15pm;Unión Magdalena;Alianza Petrolera;1;1;2;3;6;3;1;1;0;Estadio Sierra Nevada
Mar 31 2019 - 10:00pm;Deportivo Cali;Cúcuta Deportivo;2;0;2;8;5;2;0;2;0;Estadio Deportivo Cali
Mar 31 2019 - 10:30pm;Millonarios;Independiente Medellín;3;2;5;7;4;0;0;4;1;Estadio Nemesio Camacho El Campín
Apr 01 2019 - 12:30am;Envigado;Santa Fe;0;0;0;6;3;5;0;4;0;Estadio Polideportivo Sur
Apr 02 2019 - 11:00pm;Rionegro Águilas;Atlético Huila;0;0;0;8;7;1;0;4;0;Estadio Alberto Grisales
Apr 03 2019 - 1:00am;América de Cali;La Equidad;1;3;4;17;2;1;0;6;0;Estadio Olímpico Pascual Guerrero
Apr 03 2019 - 9:00pm;Envigado;Atlético Bucaramanga;1;2;3;2;5;4;0;3;0;Estadio Polideportivo Sur
Apr 03 2019 - 11:00pm;Cúcuta Deportivo;Deportivo Pasto;1;3;4;2;6;3;1;4;0;Estadio General Santander
Apr 04 2019 - 1:00am;Alianza Petrolera;Millonarios;0;2;2;2;3;4;2;3;0;Estadio Daniel Villa Zapata
Apr 04 2019 - 11:00pm;Santa Fe;Jaguares de Córdoba;0;0;0;6;5;4;0;3;1;Estadio Nemesio Camacho El Campín
Apr 05 2019 - 1:00am;Independiente Medellín;Once Caldas;1;1;2;2;4;5;0;5;1;Estadio Atanasio Girardot
Apr 06 2019 - 8:15pm;Unión Magdalena;Patriotas Boyacá;4;0;4;4;4;3;0;2;1;Estadio Sierra Nevada
Apr 06 2019 - 10:00pm;Atlético Huila;América de Cali;2;1;3;7;7;4;0;1;0;Estadio Guillermo Plazas Alcid
Apr 07 2019 - 1:00am;La Equidad;Junior;2;2;4;5;2;4;0;5;0;Estadio Metropolitano de Techo
Apr 07 2019 - 7:00pm;Deportivo Pasto;Independiente Medellín;1;0;1;3;4;3;0;4;0;Estadio Municipal De Ipiales (Ipiales)
Apr 07 2019 - 9:00pm;Jaguares de Córdoba;Rionegro Águilas;2;0;2;3;9;3;1;3;0;Estadio de Fútbol Jaraguay de Montería
Apr 07 2019 - 10:00pm;Atlético Nacional;Alianza Petrolera;1;0;1;9;4;1;0;3;0;Estadio Atanasio Girardot
Apr 07 2019 - 11:00pm;Atlético Bucaramanga;Santa Fe;2;1;3;2;4;2;0;3;0;Estadio Alfonso López
Apr 08 2019 - 1:00am;Millonarios;Cúcuta Deportivo;1;0;1;4;4;4;0;2;0;Estadio Nemesio Camacho El Campín
Apr 09 2019 - 1:00am;Once Caldas;Envigado;1;0;1;1;3;4;0;1;0;Estadio Palogrande
Apr 13 2019 - 7:00pm;Rionegro Águilas;Unión Magdalena;0;1;1;11;3;2;0;1;0;Estadio Alberto Grisales
Apr 13 2019 - 9:00pm;Once Caldas;Jaguares de Córdoba;0;1;1;11;2;0;0;2;0;Estadio Palogrande
Apr 13 2019 - 11:00pm;Santa Fe;La Equidad;1;1;2;8;2;4;0;2;0;Estadio Nemesio Camacho El Campín
Apr 14 2019 - 1:00am;Independiente Medellín;Atlético Bucaramanga;4;0;4;1;5;2;0;5;1;Estadio Atanasio Girardot
Apr 14 2019 - 8:00pm;Patriotas Boyacá;Millonarios;1;3;4;7;4;2;0;2;0;Estadio de La Independencia
Apr 14 2019 - 8:00pm;Alianza Petrolera;Cúcuta Deportivo;0;1;1;10;2;3;0;5;0;Estadio Daniel Villa Zapata
Apr 14 2019 - 10:00pm;Envigado;Atlético Huila;1;1;2;5;3;0;0;4;1;Estadio Polideportivo Sur
Apr 14 2019 - 10:00pm;Junior;Atlético Nacional;0;0;0;4;1;3;0;3;0;Estadio Metropolitano Roberto Meléndez
Apr 14 2019 - 10:00pm;Deportes Tolima;Deportivo Pasto;0;0;0;2;2;4;0;3;0;Estadio Manuel Murillo Toro
Apr 15 2019 - 12:30am;América de Cali;Deportivo Cali;0;1;1;3;5;2;0;4;0;Estadio Olímpico Pascual Guerrero
Apr 17 2019 - 12:45am;Atlético Bucaramanga;Once Caldas;1;1;2;2;9;3;0;3;0;Estadio Alfonso López
Apr 17 2019 - 7:00pm;Deportivo Pasto;Alianza Petrolera;1;0;1;4;6;3;0;3;0;Estadio Municipal De Ipiales (Ipiales)
Apr 17 2019 - 9:00pm;Jaguares de Córdoba;Envigado;2;2;4;5;3;5;1;2;0;Estadio de Fútbol Jaraguay de Montería
Apr 17 2019 - 11:00pm;Atlético Huila;Santa Fe;0;3;3;5;8;2;0;3;0;Estadio Guillermo Plazas Alcid
Apr 18 2019 - 12:00am;Millonarios;Deportes Tolima;1;2;3;9;3;3;0;5;0;Estadio Nemesio Camacho El Campín
Apr 18 2019 - 1:00am;Deportivo Cali;Junior;0;0;0;4;2;1;0;2;0;Estadio Deportivo Cali
Apr 18 2019 - 8:15pm;Unión Magdalena;América de Cali;0;3;3;7;3;4;1;1;0;Estadio Sierra Nevada
Apr 19 2019 - 12:30am;Atlético Nacional;Patriotas Boyacá;4;0;4;6;3;4;0;5;0;Estadio Atanasio Girardot
Apr 20 2019 - 7:00pm;Once Caldas;La Equidad;1;0;1;4;1;2;0;3;0;Estadio Palogrande
Apr 20 2019 - 7:00pm;Deportes Tolima;Alianza Petrolera;2;2;4;2;4;2;0;5;0;Estadio Manuel Murillo Toro
Apr 20 2019 - 10:00pm;Independiente Medellín;Jaguares de Córdoba;3;0;3;5;6;2;0;2;0;Estadio Atanasio Girardot
Apr 21 2019 - 1:00am;Santa Fe;Deportivo Cali;1;2;3;5;0;4;0;3;0;Estadio Nemesio Camacho El Campín
Apr 21 2019 - 7:00pm;Patriotas Boyacá;Cúcuta Deportivo;1;0;1;7;3;2;0;3;0;Estadio de La Independencia
Apr 21 2019 - 9:00pm;Envigado;Unión Magdalena;1;1;2;5;1;3;0;2;0;Estadio Polideportivo Sur
Apr 21 2019 - 10:30pm;América de Cali;Millonarios;1;1;2;6;5;2;0;4;0;Estadio Olímpico Pascual Guerrero
Apr 21 2019 - 11:00pm;Junior;Deportivo Pasto;0;0;0;4;3;2;0;3;0;Estadio Metropolitano Roberto Meléndez
Apr 22 2019 - 1:00am;Rionegro Águilas;Atlético Nacional;2;1;3;7;5;5;0;3;1;Estadio Alberto Grisales
Apr 23 2019 - 1:00am;Atlético Bucaramanga;Atlético Huila;2;4;6;5;4;4;0;4;0;Estadio Alfonso López
Apr 24 2019 - 9:30pm;La Equidad;Rionegro Águilas;2;2;4;8;1;3;1;4;1;Estadio Metropolitano de Techo
Apr 24 2019 - 11:30pm;Once Caldas;Deportivo Cali;4;0;4;3;7;3;0;4;0;Estadio Palogrande
Apr 25 2019 - 1:30am;Atlético Nacional;Independiente Medellín;1;0;1;3;3;3;0;4;0;Estadio Atanasio Girardot
Apr 27 2019 - 7:00pm;La Equidad;Envigado;0;1;1;10;3;2;1;4;0;Estadio Metropolitano de Techo
Apr 27 2019 - 9:00pm;Unión Magdalena;Santa Fe;3;1;4;5;5;2;0;3;0;Estadio Sierra Nevada
Apr 27 2019 - 10:00pm;Deportivo Cali;Rionegro Águilas;2;1;3;5;4;5;0;7;0;Estadio Deportivo Cali
Apr 27 2019 - 11:00pm;Atlético Nacional;América de Cali;2;0;2;3;2;2;0;1;1;Estadio Atanasio Girardot
Apr 28 2019 - 1:00am;Alianza Petrolera;Independiente Medellín;1;1;2;8;4;1;0;3;0;Estadio Daniel Villa Zapata
Apr 28 2019 - 7:00pm;Deportivo Pasto;Patriotas Boyacá;1;1;2;4;1;4;0;3;0;Estadio Municipal De Ipiales (Ipiales)
Apr 28 2019 - 9:00pm;Jaguares de Córdoba;Atlético Bucaramanga;1;1;2;4;1;1;0;1;1;Estadio de Fútbol Jaraguay de Montería
Apr 28 2019 - 10:00pm;Millonarios;Junior;2;0;2;6;4;6;0;4;0;Estadio Nemesio Camacho El Campín
Apr 28 2019 - 11:00pm;Atlético Huila;Once Caldas;1;0;1;6;5;3;0;1;0;Estadio Guillermo Plazas Alcid
Apr 29 2019 - 1:00am;Cúcuta Deportivo;Deportes Tolima;0;2;2;7;4;3;0;5;0;Estadio General Santander
May 01 2019 - 12:00am;Envigado;Atlético Nacional;4;0;4;1;7;6;0;4;0;Estadio Polideportivo Sur
May 01 2019 - 7:00pm;Patriotas Boyacá;Deportes Tolima;1;0;1;5;3;2;0;5;1;Estadio de La Independencia
May 01 2019 - 9:00pm;Rionegro Águilas;Deportivo Pasto;2;1;3;5;2;4;0;6;1;Estadio Alberto Grisales
May 01 2019 - 11:00pm;Jaguares de Córdoba;La Equidad;1;1;2;5;0;1;0;2;0;Estadio de Fútbol Jaraguay de Montería
May 01 2019 - 11:00pm;Santa Fe;Millonarios;0;0;0;5;3;4;0;4;1;Estadio Nemesio Camacho El Campín
May 02 2019 - 1:00am;Independiente Medellín;Atlético Huila;2;1;3;3;4;2;0;3;0;Estadio Atanasio Girardot
May 02 2019 - 9:15pm;Atlético Bucaramanga;Unión Magdalena;0;1;1;2;7;3;0;1;0;Estadio Alfonso López
May 02 2019 - 11:15pm;Junior;Alianza Petrolera;1;1;2;4;2;4;0;5;0;Estadio Metropolitano Roberto Meléndez
May 03 2019 - 1:15am;América de Cali;Cúcuta Deportivo;2;0;2;3;6;5;0;2;0;Estadio Olímpico Pascual Guerrero
May 05 2019 - 12:45am;Atlético Huila;Jaguares de Córdoba;0;2;2;5;3;3;0;2;0;Estadio Guillermo Plazas Alcid
May 05 2019 - 8:30pm;Deportes Tolima;Independiente Medellín;0;1;1;10;6;3;0;1;0;Estadio Manuel Murillo Toro
May 05 2019 - 8:30pm;Alianza Petrolera;Patriotas Boyacá;3;0;3;0;0;0;0;1;0;Estadio Daniel Villa Zapata
May 05 2019 - 8:30pm;Cúcuta Deportivo;Junior;2;1;3;1;0;2;0;0;0;Estadio General Santander
May 05 2019 - 8:30pm;Deportivo Pasto;América de Cali;1;1;2;2;5;2;0;4;0;Estadio Municipal De Ipiales (Ipiales)
May 05 2019 - 8:30pm;Atlético Nacional;Santa Fe;2;1;3;7;4;1;0;4;0;Estadio Atanasio Girardot
May 05 2019 - 8:30pm;Deportivo Cali;Envigado;1;0;1;-1;-1;3;0;3;0;Estadio Deportivo Cali
May 05 2019 - 8:30pm;Unión Magdalena;Once Caldas;1;0;1;3;2;2;0;4;1;Estadio Sierra Nevada
May 05 2019 - 10:30pm;Millonarios;Rionegro Águilas;1;1;2;4;2;2;0;3;0;Estadio Nemesio Camacho El Campín
May 05 2019 - 10:30pm;La Equidad;Atlético Bucaramanga;3;1;4;3;0;1;0;1;0;Estadio Metropolitano de Techo
May 11 2019 - 8:45pm;Unión Magdalena;Deportivo Pasto;1;3;4;4;3;1;0;3;0;Estadio Sierra Nevada (Santa Marta)
May 12 2019 - 10:00pm;América de Cali;Millonarios;1;2;3;6;2;2;0;7;2;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
May 13 2019 - 12:00am;Junior;Atlético Nacional;0;0;0;12;0;1;0;1;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
May 14 2019 - 12:45am;Deportes Tolima;Deportivo Cali;1;1;2;4;5;1;0;3;0;Estadio Manuel Murillo Toro (Ibagué)
May 15 2019 - 7:30pm;Deportivo Pasto;América de Cali;1;0;1;7;8;2;0;3;0;Estadio Municipal De Ipiales (Ipiales)
May 16 2019 - 1:00am;Millonarios;Unión Magdalena;1;0;1;2;3;2;0;4;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
